gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status
F,71.8,Central,65.82,Others,Science,51.28,Sci&Tech,Yes,92.02,Mkt&Fin,67.66,Placed
M,77.91,Others,79.5,Others,Science,66.04,Others,No,86.03,Mkt&HR,59.91,Placed
F,63.18,Central,65.0,Others,Commerce,67.59,Comm&Mgmt,Yes,99.39,Mkt&HR,58.59,Placed
F,65.35,Central,58.85,Central,Commerce,67.13,Comm&Mgmt,Yes,66.43,Mkt&Fin,52.41,Placed
M,54.67,Central,89.26,Central,Commerce,59.64,Sci&Tech,No,78.43,Mkt&HR,67.93,Placed
F,54.75,Others,41.89624999999998,Central,Science,63.9,Comm&Mgmt,Yes,60.06,Mkt&Fin,56.01,Placed
M,73.99,Others,72.72,Central,Science,61.83,Sci&Tech,No,79.7,Mkt&Fin,51.05,Placed
F,58.72,Central,84.86,Central,Commerce,79.6,Sci&Tech,Yes,86.45,Mkt&HR,58.92,Placed
F,79.28,Others,78.3,Central,Arts,72.81,Others,No,82.82,Mkt&Fin,52.73,Placed
M,60.68,Central,63.73,Central,Commerce,57.82,Sci&Tech,Yes,53.4,Mkt&HR,63.96,Not Placed
F,80.71,Central,81.25,Central,Science,56.98,Others,Yes,80.11,Mkt&Fin,55.62,Placed
M,80.95,Others,89.55,Others,Science,63.91,Sci&Tech,No,79.89,Mkt&Fin,56.39,Not Placed
F,60.11,Central,56.42,Central,Science,66.11,Sci&Tech,No,88.29,Mkt&HR,73.0,Not Placed
M,75.4,Others,70.2,Central,Commerce,75.27,Sci&Tech,No,65.3,Mkt&HR,64.39,Placed
M,61.01,Others,82.84,Others,Science,62.34,Others,Yes,55.35,Mkt&HR,57.65,Placed
F,73.92,Others,74.71,Others,Science,81.57,Sci&Tech,Yes,67.99,Mkt&Fin,48.77,Placed
M,82.32,Central,53.75,Others,Arts,67.12,Others,Yes,72.79,Mkt&Fin,68.63,Not Placed
M,74.42,Others,78.09,Others,Science,53.94,Comm&Mgmt,No,98.32,Mkt&HR,59.53,Not Placed
F,78.37,Others,62.01,Central,Arts,76.45,Comm&Mgmt,Yes,64.34,Mkt&Fin,72.34,Not Placed
F,63.65,Others,91.7,Others,Commerce,73.95,Others,Yes,64.51,Mkt&Fin,67.43,Not Placed
F,73.37,Others,63.47,Others,Arts,74.0,Others,Yes,56.73,Mkt&Fin,63.69,Not Placed
F,48.89,Central,91.94625000000002,Others,Arts,50.49,Comm&Mgmt,No,82.33,Mkt&Fin,55.35,Not Placed
F,37.99,Central,63.63,Central,Commerce,67.58,Others,No,64.28,Mkt&Fin,57.36,Placed
F,58.17,Central,61.95,Others,Commerce,59.0,Sci&Tech,Yes,55.03,Mkt&HR,56.64,Placed
M,53.56,Central,71.0,Central,Commerce,67.98,Sci&Tech,No,61.17,Mkt&HR,62.76,Placed
F,76.01,Others,58.04,Others,Science,65.18,Comm&Mgmt,Yes,74.55,Mkt&HR,54.22,Placed
M,56.62,Others,56.81,Central,Science,67.93,Others,Yes,92.99,Mkt&Fin,55.56,Not Placed
M,69.14,Central,66.66,Central,Arts,72.45,Others,Yes,69.34,Mkt&Fin,64.38,Placed
M,73.54,Others,67.0,Central,Commerce,68.27,Comm&Mgmt,No,72.9,Mkt&HR,76.05,Placed
F,63.31,Central,61.79,Central,Commerce,61.23,Comm&Mgmt,No,77.5,Mkt&HR,59.85,Placed
M,63.63,Others,87.0,Others,Science,76.82,Sci&Tech,Yes,61.19,Mkt&Fin,60.57,Not Placed
F,52.64,Others,68.57,Others,Arts,54.6,Sci&Tech,Yes,57.03,Mkt&Fin,63.86,Not Placed
M,76.68,Central,89.43,Others,Science,77.78,Others,Yes,51.71,Mkt&Fin,75.74,Not Placed
F,54.03,Central,57.68,Central,Arts,61.3,Sci&Tech,Yes,65.99,Mkt&Fin,63.47,Not Placed
M,64.7,Others,66.71,Others,Commerce,73.32,Others,Yes,91.77,Mkt&HR,53.78,Placed
M,68.03,Others,84.51,Central,Commerce,66.47,Sci&Tech,No,61.07,Mkt&Fin,61.77,Placed
F,59.2,Central,59.35,Others,Arts,72.28,Sci&Tech,No,84.85,Mkt&HR,63.47,Not Placed
M,73.3,Central,55.55,Others,Science,58.24,Comm&Mgmt,Yes,51.82,Mkt&Fin,66.07,Not Placed
M,77.5,Central,52.85,Others,Science,51.09,Others,Yes,68.74,Mkt&HR,65.07,Placed
M,60.9,Central,77.8,Central,Science,53.83,Others,Yes,91.13,Mkt&Fin,59.81,Placed
F,67.54,Central,73.04,Central,Commerce,59.6,Others,No,57.45,Mkt&Fin,72.94,Not Placed
F,67.13,Others,70.23,Central,Arts,50.01,Sci&Tech,Yes,58.55,Mkt&HR,51.18,Not Placed
M,52.21,Central,63.63,Central,Arts,81.73,Comm&Mgmt,No,58.09,Mkt&Fin,70.53,Placed
M,53.73,Central,73.4,Others,Commerce,61.52,Sci&Tech,Yes,60.97,Mkt&HR,66.84,Not Placed
F,53.05,Central,64.42,Others,Science,66.59,Sci&Tech,Yes,84.37,Mkt&HR,63.32,Not Placed
M,60.1,Central,58.17,Others,Arts,72.1,Others,Yes,59.87,Mkt&Fin,60.67,Placed
M,91.92,Central,48.94,Central,Arts,78.78,Sci&Tech,Yes,62.37,Mkt&Fin,59.77,Placed
M,59.85,Central,55.56,Central,Commerce,76.1,Others,No,60.94,Mkt&Fin,55.95,Not Placed
M,75.27,Central,51.51,Central,Commerce,72.51,Sci&Tech,No,74.08,Mkt&Fin,52.8,Placed
F,69.61,Others,60.02,Central,Commerce,71.15,Sci&Tech,Yes,71.04,Mkt&Fin,60.46,Not Placed
F,73.98,Central,41.89624999999998,Central,Arts,74.74,Sci&Tech,No,91.16,Mkt&Fin,55.42,Placed
M,72.63,Central,91.94625000000002,Others,Arts,71.03,Comm&Mgmt,No,84.55,Mkt&Fin,69.8,Placed
F,85.98,Central,75.78,Central,Science,47.11,Others,Yes,83.79,Mkt&Fin,73.56,Not Placed
M,77.95,Others,91.94625000000002,Central,Commerce,69.06,Comm&Mgmt,Yes,75.9,Mkt&Fin,57.75,Not Placed
M,57.65,Others,73.17,Others,Science,56.39,Comm&Mgmt,No,65.55,Mkt&HR,62.23,Placed
F,61.26,Others,67.27,Central,Science,58.73,Sci&Tech,No,50.88,Mkt&HR,61.93,Not Placed
F,73.72,Others,73.88,Central,Science,64.5,Others,Yes,69.42,Mkt&Fin,65.67,Not Placed
M,64.06,Others,65.13,Others,Commerce,60.16,Comm&Mgmt,No,71.55,Mkt&HR,55.0,Not Placed
F,61.35,Others,63.5,Central,Science,65.47,Comm&Mgmt,No,59.83,Mkt&HR,57.15,Not Placed
F,86.56,Central,65.11,Central,Arts,81.93,Sci&Tech,No,69.85,Mkt&HR,71.65,Not Placed
F,86.45,Central,77.96,Central,Commerce,66.13,Others,No,59.89,Mkt&Fin,69.03,Placed
M,84.51,Central,65.25,Others,Science,60.81,Sci&Tech,Yes,57.2,Mkt&Fin,60.21,Not Placed
M,70.06,Central,47.26,Others,Commerce,62.44,Comm&Mgmt,No,74.88,Mkt&HR,73.25,Not Placed
M,59.18,Others,57.21,Others,Science,56.28,Others,No,92.05,Mkt&Fin,72.69,Placed
F,79.68,Others,63.56,Central,Arts,74.28,Comm&Mgmt,No,59.22,Mkt&HR,58.63,Placed
F,75.52,Others,59.68,Others,Commerce,65.32,Comm&Mgmt,No,59.55,Mkt&HR,57.43,Not Placed
M,71.15,Others,63.51,Central,Science,68.72,Others,No,69.0,Mkt&HR,63.21,Placed
M,65.98,Others,54.37,Central,Science,67.19,Sci&Tech,Yes,77.17,Mkt&Fin,62.19,Placed
M,60.92,Central,66.98,Central,Arts,86.73,Others,No,90.82,Mkt&HR,63.45,Placed
M,82.61,Central,83.18,Others,Science,48.03,Sci&Tech,No,49.18,Mkt&Fin,56.37,Not Placed
F,90.03,Central,57.05,Central,Arts,76.18,Sci&Tech,Yes,67.05,Mkt&Fin,62.77,Not Placed
M,83.58,Others,61.65,Central,Arts,60.71,Others,Yes,77.52,Mkt&Fin,73.86,Placed
M,77.3,Central,71.58,Central,Science,87.88125,Others,No,56.5,Mkt&Fin,55.14,Placed
M,64.25,Central,50.05,Central,Science,81.89,Comm&Mgmt,No,83.19,Mkt&HR,74.27,Not Placed
F,75.84,Central,73.36,Others,Commerce,75.42,Others,Yes,76.98,Mkt&Fin,62.6,Placed
F,61.55,Others,71.08,Others,Science,52.7,Others,No,57.21,Mkt&HR,65.38,Placed
M,75.55,Central,65.25,Central,Commerce,76.16,Others,No,62.92,Mkt&HR,63.2,Not Placed
M,57.91,Central,72.0,Others,Arts,54.68,Sci&Tech,Yes,89.3,Mkt&Fin,66.37,Placed
M,64.47,Central,75.41,Others,Arts,46.9,Sci&Tech,Yes,63.49,Mkt&Fin,58.94,Placed
M,80.14,Central,81.27,Central,Commerce,74.38,Others,Yes,55.56,Mkt&HR,68.23,Not Placed
M,64.11,Others,58.87,Central,Science,61.25,Comm&Mgmt,Yes,66.33,Mkt&HR,55.49,Placed
M,48.24,Central,66.82,Central,Arts,74.54,Others,Yes,90.36,Mkt&HR,71.45,Placed
M,56.91,Others,78.59,Central,Commerce,74.0,Comm&Mgmt,No,79.12,Mkt&HR,59.95,Placed
M,74.53,Others,71.26,Others,Arts,69.66,Comm&Mgmt,Yes,71.75,Mkt&HR,68.29,Not Placed
M,90.59,Others,63.21,Others,Arts,70.35,Others,Yes,61.21,Mkt&HR,58.87,Placed
F,57.34,Others,78.65,Central,Arts,73.29,Others,Yes,73.24,Mkt&HR,76.35,Not Placed
M,43.66,Others,71.4,Others,Arts,64.06,Comm&Mgmt,Yes,96.12,Mkt&Fin,61.34,Not Placed
M,61.01,Others,60.58,Central,Commerce,61.55,Sci&Tech,Yes,73.55,Mkt&HR,53.9,Placed
M,78.64,Central,57.29,Others,Commerce,71.08,Comm&Mgmt,No,52.99,Mkt&HR,57.31,Not Placed
F,63.16,Others,61.11,Others,Commerce,66.78,Sci&Tech,No,87.25,Mkt&Fin,50.14,Not Placed
M,89.94,Others,49.07,Others,Science,71.03,Sci&Tech,No,56.94,Mkt&HR,57.38,Not Placed
F,46.18,Central,86.12,Others,Science,53.12,Comm&Mgmt,Yes,57.76,Mkt&Fin,60.31,Not Placed
M,47.75,Central,71.67,Central,Arts,68.26,Others,Yes,56.92,Mkt&Fin,67.83,Not Placed
F,75.79,Central,65.06,Central,Arts,62.91,Comm&Mgmt,Yes,67.82,Mkt&Fin,63.96,Not Placed
M,74.39,Central,71.83,Central,Arts,61.39,Others,Yes,72.22,Mkt&HR,61.02,Not Placed
F,66.95,Others,61.89,Others,Commerce,67.07,Sci&Tech,Yes,66.6,Mkt&Fin,67.78,Placed
M,62.53,Others,67.1,Others,Science,67.33,Comm&Mgmt,Yes,64.89,Mkt&HR,63.32,Placed
M,84.95,Others,63.34,Central,Arts,70.09,Comm&Mgmt,Yes,58.01,Mkt&HR,67.79,Placed
F,81.87,Others,78.84,Central,Arts,75.69,Comm&Mgmt,Yes,96.54,Mkt&Fin,55.83,Placed
F,79.03,Others,59.86,Central,Commerce,58.31,Sci&Tech,Yes,55.63,Mkt&HR,70.16,Not Placed
M,53.76,Others,70.81,Central,Science,52.22,Sci&Tech,No,58.49,Mkt&HR,55.6,Not Placed
F,59.2,Others,61.75,Others,Science,57.56,Sci&Tech,Yes,49.7,Mkt&Fin,60.6,Not Placed
F,91.17,Others,68.85,Others,Commerce,69.99,Others,No,66.42,Mkt&HR,68.62,Not Placed
F,69.06,Others,75.43,Central,Arts,67.78,Others,Yes,61.95,Mkt&HR,67.92,Placed
F,76.46,Central,65.05,Central,Commerce,52.88,Others,Yes,63.66,Mkt&HR,64.56,Not Placed
M,72.51,Central,69.01,Central,Science,66.86,Sci&Tech,Yes,65.61,Mkt&HR,61.12,Placed
F,77.94,Central,53.85,Others,Arts,66.12,Others,No,92.1,Mkt&Fin,62.57,Placed
M,67.98,Others,67.18,Others,Commerce,63.81,Sci&Tech,No,76.42,Mkt&HR,66.46,Placed
F,56.56,Central,77.67,Others,Commerce,50.27,Comm&Mgmt,No,78.84,Mkt&Fin,70.41,Not Placed
F,75.34,Others,72.84,Others,Science,55.18,Others,No,55.18,Mkt&HR,66.05,Not Placed
F,64.59,Central,50.67,Others,Commerce,55.72,Comm&Mgmt,Yes,52.35,Mkt&HR,54.38,Not Placed
M,79.05,Central,42.47,Others,Commerce,58.0,Comm&Mgmt,No,67.55,Mkt&HR,61.84,Not Placed
F,46.64,Central,59.96,Central,Arts,52.98,Others,Yes,64.52,Mkt&Fin,58.29,Not Placed
F,62.94,Central,65.79,Central,Science,74.96,Sci&Tech,Yes,59.56,Mkt&Fin,59.83,Placed
M,68.06,Others,65.59,Central,Arts,80.76,Sci&Tech,Yes,94.9,Mkt&HR,61.8,Not Placed
F,61.6,Others,91.44,Others,Science,63.92,Sci&Tech,Yes,59.5,Mkt&Fin,60.29,Not Placed
M,68.71,Central,60.89,Others,Science,61.08,Comm&Mgmt,Yes,100.0,Mkt&HR,59.83,Placed
F,85.87,Central,63.47,Central,Arts,69.76,Sci&Tech,No,76.69,Mkt&HR,67.61,Placed
F,87.39,Central,73.91,Central,Science,79.77,Comm&Mgmt,Yes,88.47,Mkt&Fin,71.17,Placed
M,62.96,Central,70.02,Central,Commerce,63.3,Sci&Tech,Yes,59.22,Mkt&Fin,63.33,Not Placed
F,70.82,Others,63.04,Others,Commerce,69.63,Comm&Mgmt,Yes,77.41,Mkt&HR,56.06,Not Placed
F,82.23,Central,63.61,Central,Commerce,69.16,Comm&Mgmt,Yes,58.41,Mkt&Fin,76.57,Placed
M,72.45,Central,53.84,Central,Science,63.5,Sci&Tech,Yes,53.53,Mkt&Fin,57.88,Placed
F,43.59,Others,60.98,Others,Arts,56.47,Comm&Mgmt,Yes,61.14,Mkt&HR,67.09,Placed
M,49.91,Central,56.89,Central,Science,62.52,Sci&Tech,No,56.96,Mkt&HR,64.99,Not Placed
M,84.78,Central,60.39,Central,Commerce,53.73,Sci&Tech,No,63.58,Mkt&Fin,58.98,Placed
F,84.45,Others,80.6,Others,Science,63.29,Comm&Mgmt,No,75.41,Mkt&Fin,63.84,Not Placed
F,81.37,Others,45.14,Central,Arts,72.51,Sci&Tech,No,100.0,Mkt&HR,64.63,Not Placed
M,78.59,Central,41.89624999999998,Central,Science,59.15,Others,No,78.21,Mkt&Fin,65.01,Placed
F,48.89,Others,77.88,Central,Arts,60.62,Comm&Mgmt,Yes,92.53,Mkt&HR,51.22,Not Placed
F,77.98,Central,79.74,Central,Science,66.14,Comm&Mgmt,Yes,88.25,Mkt&HR,64.5,Placed
F,48.56,Others,76.46,Central,Commerce,71.37,Others,No,65.17,Mkt&HR,60.14,Placed
M,85.57,Central,66.35,Central,Science,75.81,Comm&Mgmt,Yes,69.21,Mkt&Fin,60.71,Placed
M,75.0,Central,58.83,Others,Science,58.97,Sci&Tech,Yes,83.39,Mkt&HR,60.0,Not Placed
M,57.15,Central,64.7,Central,Science,50.19,Sci&Tech,No,84.43,Mkt&HR,65.95,Placed
M,62.51,Others,63.69,Others,Commerce,67.51,Sci&Tech,No,50.77,Mkt&HR,62.27,Not Placed
M,62.9,Others,86.32,Central,Science,56.78,Comm&Mgmt,No,64.93,Mkt&Fin,70.81,Not Placed
M,87.02,Central,70.16,Central,Science,63.22,Sci&Tech,Yes,67.47,Mkt&HR,75.33,Placed
M,67.59,Central,62.76,Others,Science,69.35,Sci&Tech,Yes,83.89,Mkt&HR,64.41,Not Placed
M,90.05,Central,62.1,Central,Arts,57.66,Sci&Tech,Yes,55.13,Mkt&HR,69.54,Not Placed
F,67.47,Central,51.61,Central,Arts,62.97,Others,No,88.72,Mkt&HR,60.37,Not Placed
M,88.11,Central,69.58,Central,Arts,58.29,Sci&Tech,No,68.71,Mkt&HR,60.26,Not Placed
M,65.12,Central,53.23,Central,Science,65.52,Sci&Tech,Yes,98.66,Mkt&HR,56.73,Not Placed
M,67.02,Others,45.03,Central,Arts,67.68,Comm&Mgmt,Yes,56.08,Mkt&HR,69.82,Not Placed
M,58.28,Central,72.49,Others,Science,56.44,Others,Yes,69.08,Mkt&Fin,62.34,Not Placed
F,82.32,Others,70.04,Others,Arts,64.88,Comm&Mgmt,Yes,57.47,Mkt&HR,64.77,Not Placed
F,78.83,Others,89.6,Others,Science,63.39,Comm&Mgmt,Yes,64.63,Mkt&HR,61.01,Not Placed
F,67.2,Central,74.67,Others,Arts,66.14,Sci&Tech,No,89.94,Mkt&Fin,54.73,Placed
F,84.45,Others,62.71,Central,Science,68.21,Comm&Mgmt,No,67.68,Mkt&Fin,63.09,Placed
F,69.09,Central,61.52,Central,Arts,63.36,Sci&Tech,Yes,86.46,Mkt&Fin,54.15,Placed
F,53.05,Central,65.07,Central,Science,87.88125,Comm&Mgmt,Yes,73.88,Mkt&HR,55.56,Placed
F,44.27,Central,75.5,Central,Arts,64.84,Comm&Mgmt,Yes,81.93,Mkt&Fin,69.55,Not Placed
F,68.23,Others,60.59,Others,Arts,62.07,Comm&Mgmt,Yes,66.07,Mkt&HR,59.98,Placed
F,65.56,Others,57.08,Others,Commerce,56.06,Others,No,60.67,Mkt&HR,70.0,Not Placed
M,49.2,Central,73.89,Others,Science,67.68,Others,Yes,54.36,Mkt&HR,73.37,Placed
M,67.96,Others,66.91,Central,Commerce,75.44,Others,Yes,58.46,Mkt&Fin,57.86,Not Placed
F,75.52,Others,62.56,Others,Commerce,75.11,Others,Yes,89.83,Mkt&Fin,63.11,Not Placed
M,66.98,Central,73.9,Central,Commerce,67.64,Others,No,88.5,Mkt&HR,68.31,Not Placed
F,56.26,Central,41.89624999999998,Others,Commerce,66.34,Comm&Mgmt,No,60.79,Mkt&Fin,49.62,Placed
M,83.14,Central,62.96,Central,Commerce,61.46,Sci&Tech,Yes,65.07,Mkt&Fin,74.28,Not Placed
F,63.33,Others,77.2,Others,Commerce,63.36,Sci&Tech,Yes,58.73,Mkt&Fin,57.65,Placed
F,37.35875000000001,Central,75.33,Others,Science,65.42,Comm&Mgmt,No,63.88,Mkt&HR,60.08,Not Placed
F,73.26,Central,91.94625000000002,Others,Science,64.69,Others,Yes,83.79,Mkt&Fin,66.33,Placed
F,42.32,Central,62.74,Others,Science,70.03,Sci&Tech,Yes,58.63,Mkt&Fin,59.83,Not Placed
F,68.01,Central,61.17,Others,Commerce,85.56,Others,No,69.82,Mkt&HR,50.04,Not Placed
M,88.28,Others,73.93,Others,Commerce,64.03,Others,Yes,91.61,Mkt&Fin,66.03,Not Placed
F,63.04,Central,52.81,Central,Arts,65.8,Sci&Tech,No,55.64,Mkt&HR,61.7,Placed
F,59.29,Central,44.43,Central,Commerce,73.91,Sci&Tech,No,81.8,Mkt&HR,52.94,Not Placed
F,61.51,Others,61.4,Central,Commerce,64.12,Others,No,67.7,Mkt&HR,52.92,Placed
F,74.17,Others,45.46,Central,Arts,66.08,Comm&Mgmt,No,81.5,Mkt&HR,47.33,Placed
F,52.06,Central,56.45,Central,Science,55.6,Comm&Mgmt,Yes,60.01,Mkt&Fin,67.43,Placed
M,55.46,Others,66.84,Central,Commerce,47.84,Sci&Tech,No,73.38,Mkt&Fin,68.39,Placed
F,66.4,Others,69.78,Central,Commerce,73.28,Sci&Tech,No,82.42,Mkt&Fin,57.92,Placed
M,66.99,Others,63.19,Others,Science,70.95,Sci&Tech,No,73.29,Mkt&HR,56.97,Placed
M,58.46,Central,63.31,Central,Arts,68.65,Sci&Tech,No,86.99,Mkt&Fin,58.0,Placed
F,60.91,Others,67.25,Central,Commerce,66.65,Comm&Mgmt,Yes,70.01,Mkt&HR,66.16,Placed
M,70.57,Others,49.22,Others,Commerce,66.62,Comm&Mgmt,No,51.7,Mkt&Fin,60.47,Not Placed
F,46.21,Central,66.07,Others,Arts,65.68,Sci&Tech,No,99.05,Mkt&Fin,52.27,Not Placed
M,64.66,Others,61.84,Others,Arts,72.36,Others,Yes,75.31,Mkt&HR,61.9,Not Placed
M,62.52,Others,64.55,Others,Science,66.13,Sci&Tech,Yes,90.54,Mkt&HR,64.24,Not Placed
F,78.03,Central,65.67,Others,Commerce,64.79,Sci&Tech,No,73.09,Mkt&Fin,53.38,Placed
F,55.22,Others,58.72,Others,Arts,63.99,Comm&Mgmt,No,55.2,Mkt&HR,66.61,Placed
M,76.75,Central,75.67,Central,Science,55.98,Others,No,93.57,Mkt&HR,61.65,Not Placed
F,85.3,Central,59.06,Central,Commerce,53.52,Others,Yes,97.15,Mkt&Fin,60.46,Placed
F,67.26,Central,62.18,Central,Arts,73.88,Others,Yes,61.89,Mkt&Fin,61.4,Placed
M,86.43,Central,57.88,Central,Science,60.25,Comm&Mgmt,No,95.89,Mkt&HR,59.08,Placed
M,74.9,Others,89.54,Others,Arts,55.13,Sci&Tech,No,65.13,Mkt&Fin,73.86,Placed
F,58.26,Central,58.08,Central,Science,65.85,Sci&Tech,Yes,77.3,Mkt&Fin,57.38,Placed
M,61.57,Others,67.74,Central,Commerce,66.78,Comm&Mgmt,No,76.83,Mkt&Fin,70.93,Placed
M,74.08,Central,77.88,Others,Science,80.08,Comm&Mgmt,Yes,60.91,Mkt&HR,70.59,Placed
F,52.69,Central,68.28,Central,Arts,71.17,Others,No,52.74,Mkt&Fin,69.24,Not Placed
F,66.18,Others,80.07,Others,Commerce,72.83,Comm&Mgmt,Yes,58.23,Mkt&Fin,66.68,Placed
F,51.04,Central,63.34,Others,Arts,67.03,Comm&Mgmt,Yes,74.64,Mkt&Fin,60.73,Not Placed
M,52.27,Others,63.61,Others,Arts,76.65,Others,Yes,70.71,Mkt&Fin,63.04,Not Placed
F,82.22,Central,74.7,Others,Arts,68.61,Sci&Tech,Yes,82.45,Mkt&Fin,63.5,Not Placed
M,59.22,Others,59.5,Others,Arts,76.7,Sci&Tech,No,72.89,Mkt&HR,59.75,Not Placed
M,71.67,Others,62.94,Central,Commerce,76.95,Comm&Mgmt,Yes,87.5,Mkt&HR,56.61,Not Placed
F,56.16,Others,78.37,Central,Commerce,73.58,Others,Yes,64.34,Mkt&Fin,54.03,Placed
M,67.85,Others,67.74,Central,Science,70.57,Comm&Mgmt,Yes,60.4,Mkt&HR,66.44,Not Placed
F,65.24,Central,73.53,Others,Science,67.5,Others,No,67.37,Mkt&Fin,69.53,Placed
M,60.79,Others,64.53,Others,Science,63.76,Sci&Tech,Yes,83.68,Mkt&HR,61.04,Placed
F,71.98,Others,64.33,Others,Commerce,61.16,Comm&Mgmt,No,77.9,Mkt&HR,59.22,Placed
F,72.08,Central,76.99,Others,Commerce,64.1,Others,No,75.73,Mkt&HR,67.49,Placed
F,80.62,Central,64.43,Others,Arts,69.37,Others,No,86.61,Mkt&HR,69.62,Placed
M,68.76,Others,66.38,Central,Arts,54.84,Comm&Mgmt,Yes,83.35,Mkt&Fin,67.81,Placed
F,63.61,Central,68.4,Central,Arts,71.78,Comm&Mgmt,Yes,53.9,Mkt&HR,79.04,Placed
F,56.99,Central,67.11,Central,Commerce,64.13,Comm&Mgmt,Yes,48.15,Mkt&HR,50.88,Not Placed
F,74.74,Others,64.41,Others,Commerce,52.15,Comm&Mgmt,No,76.89,Mkt&Fin,79.82,Not Placed
M,49.91,Central,58.42,Central,Arts,62.28,Others,No,53.98,Mkt&HR,71.69,Placed
M,80.7,Others,65.56,Others,Arts,66.59,Sci&Tech,No,88.42,Mkt&Fin,58.84,Placed
M,73.15,Central,80.13,Central,Science,62.57,Sci&Tech,Yes,55.85,Mkt&Fin,74.32,Placed
M,86.2,Central,68.52,Central,Science,55.32,Comm&Mgmt,Yes,97.83,Mkt&HR,66.95,Not Placed
F,63.27,Others,44.7,Central,Arts,65.68,Others,No,60.25,Mkt&Fin,67.12,Not Placed
F,90.15,Others,75.75,Others,Science,51.13,Comm&Mgmt,No,93.59,Mkt&HR,67.98,Not Placed
M,62.4,Others,60.27,Central,Science,69.82,Comm&Mgmt,No,65.31,Mkt&HR,72.23,Placed
M,72.39,Central,68.84,Others,Arts,64.22,Comm&Mgmt,Yes,59.84,Mkt&HR,66.45,Placed
F,63.02,Central,64.09,Central,Arts,62.51,Others,Yes,55.69,Mkt&HR,58.59,Not Placed
F,77.76,Central,85.63,Others,Science,65.3,Comm&Mgmt,No,71.85,Mkt&Fin,60.42,Placed
F,54.71,Others,56.28,Central,Commerce,60.19,Comm&Mgmt,No,82.84,Mkt&HR,60.73,Placed
F,73.48,Central,61.7,Central,Arts,63.72,Comm&Mgmt,No,93.61,Mkt&HR,70.6,Placed
F,67.08,Others,72.04,Central,Arts,61.19,Sci&Tech,No,74.5,Mkt&Fin,64.45,Placed
F,54.22,Central,82.12,Others,Arts,69.07,Others,Yes,76.06,Mkt&Fin,53.75,Placed
F,69.31,Central,52.59,Others,Arts,61.24,Comm&Mgmt,Yes,52.49,Mkt&HR,59.16,Not Placed
F,73.89,Others,54.92,Central,Arts,59.69,Others,Yes,59.17,Mkt&HR,66.3,Not Placed
M,67.76,Central,57.74,Central,Science,71.03,Sci&Tech,Yes,60.03,Mkt&Fin,56.11,Placed
M,69.57,Others,61.01,Central,Arts,63.49,Sci&Tech,Yes,93.44,Mkt&HR,50.33,Not Placed
M,69.54,Central,42.58,Others,Commerce,77.09,Sci&Tech,Yes,89.83,Mkt&Fin,72.16,Not Placed
M,50.0,Others,53.76,Others,Commerce,68.99,Comm&Mgmt,Yes,66.48,Mkt&HR,58.85,Placed
M,37.35875000000001,Central,76.06,Others,Science,63.35,Others,Yes,68.34,Mkt&HR,65.78,Not Placed
M,65.81,Central,60.4,Central,Commerce,50.6,Sci&Tech,No,70.84,Mkt&HR,58.69,Placed
M,57.63,Central,62.24,Others,Commerce,82.23,Comm&Mgmt,Yes,87.59,Mkt&Fin,59.16,Placed
F,52.7,Central,61.33,Central,Science,67.18,Others,Yes,72.54,Mkt&HR,59.78,Placed
M,48.33,Central,73.0,Others,Arts,65.3,Comm&Mgmt,Yes,49.89,Mkt&HR,62.6,Placed
F,76.43,Central,64.93,Others,Commerce,66.22,Comm&Mgmt,No,71.51,Mkt&HR,61.07,Placed
F,78.36,Central,57.05,Central,Science,70.88,Sci&Tech,Yes,70.56,Mkt&HR,68.06,Placed
M,77.64,Others,65.02,Central,Science,67.4,Comm&Mgmt,Yes,78.15,Mkt&HR,67.57,Not Placed
M,60.96,Others,68.07,Central,Science,62.41,Others,No,93.68,Mkt&HR,54.08,Not Placed
F,88.83,Central,65.19,Others,Arts,70.73,Others,Yes,58.05,Mkt&Fin,56.63,Placed
M,68.69,Others,68.72,Central,Commerce,61.11,Sci&Tech,Yes,54.0,Mkt&Fin,60.53,Placed
F,59.18,Central,60.62,Central,Science,67.35,Comm&Mgmt,Yes,78.73,Mkt&HR,58.12,Placed
F,63.35,Others,62.08,Central,Commerce,78.13,Comm&Mgmt,Yes,57.47,Mkt&HR,68.36,Placed
M,62.95,Others,44.23,Others,Science,71.07,Sci&Tech,No,56.6,Mkt&HR,61.65,Not Placed
F,68.83,Central,68.75,Central,Commerce,76.34,Comm&Mgmt,No,80.37,Mkt&HR,60.64,Not Placed
M,61.14,Central,71.29,Central,Arts,51.5,Comm&Mgmt,No,57.85,Mkt&HR,65.4,Placed
M,39.87,Central,76.18,Central,Commerce,59.76,Sci&Tech,No,79.11,Mkt&Fin,57.45,Not Placed
F,58.99,Central,66.52,Others,Commerce,68.39,Sci&Tech,No,67.23,Mkt&Fin,52.85,Placed
M,87.13,Others,75.28,Others,Science,62.03,Comm&Mgmt,Yes,74.12,Mkt&HR,70.36,Placed
F,82.02,Others,59.64,Others,Commerce,66.14,Others,No,66.78,Mkt&HR,67.28,Not Placed
F,61.86,Others,49.41,Others,Arts,75.29,Comm&Mgmt,No,79.31,Mkt&Fin,72.8,Not Placed
